User_ID,Product_ID,Gender,Age Group,Age,Marital_Status,District,Zone,Occupation,Product_Category,Orders,Amount,Status,unnamed1
1000053,P00295842,Female,26-35,31,0,Kanyakumari,Southern,IT Sector,Footwear & Shoes,3,4691,,
1000053,P00146142,Female,26-35,32,1,Kanyakumari,Southern,Retail,Clothing & Apparel,3,1799,,
1000053,P00346142,Female,26-35,27,1,Salem,Western,Banking,Clothing & Apparel,1,8684,,
1000053,P00346342,Female,26-35,29,0,Vellore,Northern,IT Sector,Clothing & Apparel,4,6918,,
1000053,P00287742,Female,26-35,30,0,Sivagangai,Central,Chemical,Clothing & Apparel,2,6855,,
1000053,P00363242,Male,26-35,29,0,Sivagangai,Central,Chemical,Footwear & Shoes,2,4178,,
1000057,P00351342,Female,18-25,18,1,Sivagangai,Central,Retail,Food,2,7956,,
1000058,P00266542,Female,26-35,33,0,Kanyakumari,Southern,Retail,Footwear & Shoes,3,20288,,
1000058,P00184942,Male,26-35,34,0,Kanyakumari,Southern,Lawyer,Footwear & Shoes,4,12698,,
1000058,P00274242,Female,26-35,28,0,Kanyakumari,Southern,Healthcare,Household items,1,2271,,
1000059,P00298242,Male,51-55,52,0,Coimbatore,Western,Govt,Electronics & Gadgets,4,7936,,
1000061,P00337842,Female,26-35,28,1,Kanyakumari,Southern,Construction,Household items,3,3128,,
1000062,P00061242,Male,36-45,45,0,Madurai,Southern,IT Sector,Food,2,12005,,
1000062,P00085642,Male,36-45,40,1,Kanyakumari,Southern,Chemical,Food,2,15197,,
1000062,P00012842,Male,36-45,44,1,Kanyakumari,Southern,Banking,Books,3,10330,,
1000062,P00188742,Male,36-45,40,1,Kanyakumari,Southern,Banking,Clothing & Apparel,1,5374,,
1000062,P00086842,Male,36-45,40,1,Kanyakumari,Southern,Hospitality,Clothing & Apparel,3,1865,,
1000062,P00282442,Male,36-45,44,1,Salem,Western,Lawyer,Office,3,775,,
1000062,P00161842,Male,36-45,37,0,Vellore,Northern,Retail,Electronics & Gadgets,3,9924,,
1000062,P00150742,Male,36-45,45,1,Vellore,Northern,IT Sector,Clothing & Apparel,2,5249,,
1000064,P00270642,Female,18-25,21,0,Sivagangai,Central,Construction,Clothing & Apparel,1,2047,,
1000065,P00117942,Female,36-45,44,0,Chennai,Northern,Retail,Electronics & Gadgets,4,9740,,
1000065,P00293242,Female,36-45,45,0,Salem,Western,Hospitality,Clothing & Apparel,3,5442,,
1000065,P00051142,Female,36-45,36,1,Coimbatore,Western,Aviation,Household items,1,2349,,
1000065,P00174442,Female,36-45,41,0,Sivagangai,Central,Construction,Food,3,15792,,
1000068,P00255842,Female,18-25,24,1,Chennai,Northern,Hospitality,Clothing & Apparel,1,1876,,
1000068,P00001742,Female,18-25,20,1,Kanyakumari,Southern,Food Processing,Food,1,19326,,
1000068,P00176842,Female,18-25,19,0,Sivagangai,Central,Hospitality,Decor,3,9884,,
1000069,P00163842,Male,26-35,35,1,Trichy,Central,Aviation,Clothing & Apparel,1,7188,,
1000069,P00126142,Male,26-35,34,0,Sivagangai,Central,Chemical,Furniture,4,12310,,
1000071,P00062842,Female,26-35,33,0,Trichy,Central,Retail,Footwear & Shoes,3,20169,,
1000075,P00194442,Male,0-17,15,0,Kanyakumari,Southern,Media,Clothing & Apparel,1,5444,,
1000075,P00137642,Male,0-17,15,0,Sivagangai,Central,Govt,Furniture,1,16662,,
1000075,P00237542,Female,0-17,13,0,Sivagangai,Central,Hospitality,Games & Toys,4,6864,,
1000076,P00351342,Female,36-45,42,1,Cuddalore,Eastern,Food Processing,Electronics & Gadgets,1,6102,,
1000077,P00224142,Female,18-25,21,0,Ariyalur,Central,Agriculture,Clothing & Apparel,2,5269,,
1000078,P00192842,Male,46-50,49,0,Trichy,Central,Lawyer,Clothing & Apparel,1,8794,,
1000078,P00158742,Male,46-50,46,0,Trichy,Central,Govt,Food,2,8162,,
1000078,P00029042,Male,46-50,46,0,Sivagangai,Central,Automobile,Sports Products,3,10639,,
1000080,P00130742,Female,55+,90,0,Madurai,Southern,Hospitality,Clothing & Apparel,4,7043,,
1000080,P00318742,Female,55+,56,0,Sivagangai,Central,Govt,Food,2,11459,,
1000081,P00184942,Male,26-35,26,0,Kanyakumari,Southern,Food Processing,Food,2,19547,,
1000083,P00334242,Male,26-35,33,0,Sivagangai,Central,IT Sector,Food,4,15443,,
1000083,P00242842,Male,26-35,35,0,Sivagangai,Central,Hospitality,Clothing & Apparel,3,5345,,
1000083,P00242842,Male,26-35,35,0,Sivagangai,Central,Hospitality,Clothing & Apparel,3,5345,,
1000086,P00242742,Male,0-17,15,0,Sivagangai,Central,IT Sector,Clothing & Apparel,3,7037,,
1000086,P00145042,Female,0-17,14,0,Sivagangai,Central,Govt,Clothing & Apparel,4,6973,,
1000086,P00279442,Male,0-17,13,1,Sivagangai,Central,Healthcare,Beauty,1,1501,,
1000088,P00113642,Male,46-50,49,0,Kanchipuram,Northern,Automobile,Clothing & Apparel,4,5332,,
1000088,P00113642,Male,46-50,49,0,Tirunelveli,Southern,Automobile,Clothing & Apparel,1,5332,,
1000089,P00349942,Male,55+,71,1,Trichy,Central,Aviation,Electronics & Gadgets,1,8037,,
1000090,P00044142,Female,55+,56,0,Ariyalur,Central,Healthcare,Electronics & Gadgets,4,9779,,
1000090,P00303342,Female,55+,68,0,Salem,Western,Banking,Electronics & Gadgets,1,5878,,
1000090,P00192842,Male,55+,65,0,Erode,Central,Automobile,Footwear & Shoes,4,12119,,
1000091,P00189342,Female,36-45,42,0,Kanyakumari,Southern,IT Sector,Footwear & Shoes,3,16517,,
1000092,P00251542,Male,18-25,22,1,Trichy,Central,Banking,Clothing & Apparel,3,8785,,
1000092,P00274342,Male,18-25,18,1,Kanyakumari,Southern,Banking,Food,2,11400,,
1000092,P00177242,Male,18-25,21,0,Theni,Western,Govt,Food,1,15173,,
1000092,P00166942,Male,18-25,21,1,Sivagangai,Central,Lawyer,Furniture,4,19909,,
1000093,P00028442,Female,26-35,29,0,Kanyakumari,Southern,Media,Food,4,15545,,
1000093,P00016042,Female,26-35,29,0,Theni,Western,IT Sector,Clothing & Apparel,1,1993,,
1000094,P00182442,Female,26-35,31,0,Chennai,Northern,Agriculture,Electronics & Gadgets,4,8026,,
1000094,P00182442,Female,26-35,31,0,Ariyalur,Central,Agriculture,Electronics & Gadgets,2,8026,,
1000095,P00198742,Female,46-50,47,1,Kanyakumari,Southern,Automobile,Food,1,11608,,
1000096,P00161942,Male,26-35,31,0,Cuddalore,Eastern,IT Sector,Electronics & Gadgets,2,8025,,
1000097,P00362542,Male,36-45,43,1,Kanchipuram,Northern,Govt,Food,3,19193,,
1000097,P00297742,Male,36-45,42,0,Kanyakumari,Southern,Hospitality,Food,1,11859,,
1000097,P00100742,Male,36-45,44,0,Sivagangai,Central,Hospitality,Furniture,2,12163,,
1000098,P00302142,Male,36-45,42,0,Kanyakumari,Southern,Aviation,Sports Products,4,10692,,
1000100,P00032042,Female,36-45,39,0,Ariyalur,Central,Construction,Sports Products,4,13338,,
1000101,P00241642,Male,18-25,21,1,Kanchipuram,Northern,Media,Electronics & Gadgets,1,8133,,
1000102,P00001042,Female,36-45,39,0,Trichy,Central,Hospitality,Footwear & Shoes,3,16204,,
1000102,P00117942,Female,36-45,38,0,Coimbatore,Western,Media,Electronics & Gadgets,4,8073,,
1000102,P00071442,Female,36-45,36,1,Sivagangai,Central,Lawyer,Footwear & Shoes,3,16460,,
1000102,P00229342,Female,36-45,37,1,Sivagangai,Central,Food Processing,Sports Products,3,3013,,
1000103,P00115942,Female,46-50,50,1,Tirunelveli,Southern,Aviation,Clothing & Apparel,1,5225,,
1000103,P00154042,Female,46-50,46,1,Chennai,Northern,Govt,Clothing & Apparel,4,8588,,
1000106,P00085442,Male,36-45,40,1,Sivagangai,Central,IT Sector,Clothing & Apparel,4,5340,,
1000107,P00117642,Female,46-50,49,1,Coimbatore,Western,Hospitality,Veterinary,1,1423,,
1000107,P00100842,Female,46-50,49,1,Sivagangai,Central,Automobile,Electronics & Gadgets,2,6023,,
1000111,P00150342,Male,36-45,42,1,Trichy,Central,Lawyer,Electronics & Gadgets,2,8080,,
1000113,P00180642,Female,18-25,19,1,Kanchipuram,Northern,Govt,Auto,4,23546,,
1000116,P00066642,Female,26-35,29,0,Sivagangai,Central,Agriculture,Electronics & Gadgets,1,9786,,
1000117,P00163242,Male,26-35,29,0,Ariyalur,Central,IT Sector,Books,1,10392,,
1000117,P00214442,Male,26-35,34,0,Theni,Western,Healthcare,Furniture,1,12524,,
1000117,P00031542,Female,26-35,29,0,Coimbatore,Western,Chemical,Food,3,18952,,
1000117,P00266642,Female,26-35,32,0,Sivagangai,Central,Aviation,Decor,2,9852,,
1000117,P00118342,Male,26-35,27,0,Sivagangai,Central,IT Sector,Clothing & Apparel,1,5278,,
1000118,P00324742,Male,36-45,36,0,Ariyalur,Central,IT Sector,Electronics & Gadgets,1,9908,,
1000118,P00251942,Female,36-45,36,1,Kanyakumari,Southern,Agriculture,Household items,2,3779,,
1000118,P00220442,Female,36-45,45,1,Sivagangai,Central,IT Sector,Clothing & Apparel,4,7086,,
1000119,P0095842,Male,0-17,12,0,Kanyakumari,Southern,Healthcare,Electronics & Gadgets,1,7972,,
1000121,P00110942,Female,36-45,38,0,Kanchipuram,Northern,Govt,Auto,3,18770,,
1000123,P00078142,Female,36-45,37,0,Madurai,Southern,Retail,Sports Products,1,11056,,
1000123,P00125842,Female,36-45,43,0,Tiruvarur,Southern,Media,Food,1,11405,,
1000123,P00147742,Female,36-45,40,1,Sivagangai,Central,Chemical,Footwear & Shoes,1,12307,,
1000123,P00147942,Female,36-45,40,1,Sivagangai,Central,Chemical,Food,4,11970,,
1000123,P00085342,Female,36-45,43,1,Sivagangai,Central,Banking,Food,1,8059,,
1000123,P00344242,Female,36-45,45,1,Sivagangai,Central,Media,Decor,2,7781,,
1000123,P00216142,Female,36-45,45,1,Sivagangai,Central,Aviation,Clothing & Apparel,4,6911,,
1000123,P00081842,Female,36-45,39,1,Sivagangai,Central,Media,Clothing & Apparel,2,5290,,
1000125,P00288942,Female,46-50,48,1,Theni,Western,Hospitality,Footwear & Shoes,1,8102,,
1000126,P00110042,Female,18-25,19,1,Madurai,Southern,Govt,Electronics & Gadgets,2,2126,,
1000127,P00293242,Male,46-50,47,1,Trichy,Central,IT Sector,Clothing & Apparel,3,2041,,
1000129,P00136142,Female,26-35,29,0,Kanchipuram,Northern,Govt,Pet Care,2,2113,,
1000129,P00212742,Female,26-35,32,1,Ariyalur,Central,Retail,Pet Care,4,2781,,
1000130,P00338542,Female,36-45,44,0,Coimbatore,Western,Media,Sports Products,1,10593,,
1000131,P00125742,Female,18-25,19,1,Kanchipuram,Northern,Media,Electronics & Gadgets,4,6029,,
1000131,P00188442,Female,18-25,23,0,Chennai,Northern,Chemical,Sports Products,4,13345,,
1000131,P00275642,Female,18-25,22,0,Coimbatore,Western,Healthcare,Food,2,19221,,
1000131,P00303742,Female,18-25,21,0,Tiruvallur,Northern,Healthcare,Electronics & Gadgets,1,3967,,
1000131,P00126142,Female,18-25,19,1,Sivagangai,Central,Food Processing,Food,1,15739,,
1000133,P00354942,Male,26-35,35,1,Coimbatore,Western,Retail,Clothing & Apparel,1,8589,,
1000134,P00337942,Female,26-35,30,0,Kanchipuram,Northern,Aviation,Electronics & Gadgets,3,7865,,
1000134,P00162442,Female,26-35,26,0,Madurai,Southern,IT Sector,Games & Toys,3,9568,,
1000134,P00051142,Female,26-35,30,0,Coimbatore,Western,Retail,Games & Toys,2,16116,,
1000134,P00350942,Female,26-35,29,0,Coimbatore,Western,Aviation,Food,1,4311,,
1000134,P00320742,Female,26-35,26,0,Sivagangai,Central,Aviation,Electronics & Gadgets,3,8117,,
1000136,P00336942,Female,18-25,21,1,Chennai,Northern,Retail,Sports Products,4,8206,,
1000136,P00114042,Female,18-25,25,1,Chennai,Northern,Chemical,Clothing & Apparel,4,2005,,
1000136,P00116242,Female,18-25,21,1,Theni,Western,Banking,Beauty,1,6086,,
1000136,P00051842,Female,18-25,22,1,Theni,Western,IT Sector,Beauty,1,4669,,
1000136,P00342742,Female,18-25,19,1,Coimbatore,Western,Chemical,Food,1,7638,,
1000136,P00001142,Female,18-25,22,0,Tiruvallur,Northern,Retail,Electronics & Gadgets,3,6178,,
1000136,P00049542,Female,18-25,23,1,Sivagangai,Central,Chemical,Food,3,11703,,
1000137,P0099042,Male,46-50,47,1,Kanchipuram,Northern,Banking,Games & Toys,4,16460,,
1000137,P00368042,Male,46-50,50,0,Kanyakumari,Southern,Automobile,Footwear & Shoes,2,16920,,
1000138,P00355142,Female,18-25,23,0,Kanchipuram,Northern,IT Sector,Electronics & Gadgets,1,7815,,
1000139,P00196042,Male,26-35,26,1,Kanyakumari,Southern,Food Processing,Household items,4,2379,,
1000141,P00111042,Female,36-45,37,0,Sivagangai,Central,Food Processing,Games & Toys,3,12970,,
1000141,P00001742,Female,36-45,43,0,Sivagangai,Central,Automobile,Clothing & Apparel,4,5378,,
1000143,P00219842,Female,18-25,20,1,Theni,Western,Agriculture,Electronics & Gadgets,2,9969,,
1000146,P00120242,Male,36-45,38,1,Coimbatore,Western,Hospitality,Food,2,15916,,
1000146,P00266042,Male,36-45,44,1,Vellore,Northern,IT Sector,Household items,2,3001,,
1000146,P00089342,Male,36-45,45,1,Sivagangai,Central,Hospitality,Clothing & Apparel,3,5288,,
1000147,P00002542,Female,18-25,20,0,Ariyalur,Central,Healthcare,Electronics & Gadgets,2,7954,,
1000148,P00289442,Male,51-55,55,0,Madurai,Southern,Hospitality,Footwear & Shoes,3,16787,,
1000148,P00183342,Female,51-55,52,1,Madurai,Southern,Healthcare,Pet Care,3,2790,,
1000148,P00173042,Female,51-55,51,0,Trichy,Central,Banking,Office,3,745,,
1000148,P00024742,Female,51-55,51,0,Tirunelveli,Southern,Govt,Sports Products,3,13675,,
1000148,P00223942,Female,51-55,55,1,Tirunelveli,Southern,Healthcare,Clothing & Apparel,3,5143,,
1000148,P00047842,Female,51-55,52,1,Chennai,Northern,Media,Pet Care,1,2798,,
1000148,P00151742,Female,51-55,51,1,Ariyalur,Central,Banking,Furniture,4,19919,,
1000148,P00352542,Male,51-55,54,0,Ariyalur,Central,Banking,Footwear & Shoes,2,16266,,
1000148,P00312142,Female,51-55,54,0,Salem,Western,Agriculture,Clothing & Apparel,1,8633,,
1000148,P00334642,Female,51-55,51,0,Tiruvarur,Southern,Construction,Food,2,19643,,
1000149,P00224142,Female,26-35,26,1,Ariyalur,Central,Automobile,Clothing & Apparel,1,5140,,
1000149,P00046942,Male,26-35,30,0,Kanyakumari,Southern,Healthcare,Household items,2,3768,,
1000149,P00152742,Female,26-35,34,1,Kanyakumari,Southern,Aviation,Pet Care,4,2746,,
1000149,P00112142,Female,26-35,33,1,Sivagangai,Central,Banking,Food,3,11576,,
1000149,P00276242,Female,26-35,29,1,Sivagangai,Central,Media,Beauty,2,2979,,
1000150,P00025442,Female,36-45,44,1,Trichy,Central,Agriculture,Food,3,19469,,
1000150,P00128942,Female,36-45,44,0,Ariyalur,Central,Textile,Electronics & Gadgets,4,7891,,
1000150,P00217742,Female,36-45,42,1,Sivagangai,Central,IT Sector,Pet Care,1,745,,
1000151,P00103342,Male,26-35,28,0,Madurai,Southern,Food Processing,Tupperware,4,16311,,
1000151,P00279542,Male,26-35,34,1,Trichy,Central,Agriculture,Food,2,11921,,
1000151,P00279542,Male,26-35,34,1,Tirunelveli,Southern,Agriculture,Food,3,11921,,
1000151,P00058442,Male,26-35,29,1,Ariyalur,Central,Food Processing,Food,4,11465,,
1000151,P00150342,Male,26-35,34,1,Kanyakumari,Southern,IT Sector,Stationery,2,21495,,
1000151,P00324742,Male,26-35,35,1,Sivagangai,Central,Aviation,Books,3,10589,,
1000151,P00048642,Male,26-35,33,0,Sivagangai,Central,Agriculture,Electronics & Gadgets,3,7893,,
1000153,P00366242,Female,0-17,15,0,Trichy,Central,IT Sector,Food,2,11846,,
1000154,P00306042,Female,51-55,53,1,Kanyakumari,Southern,Textile,Footwear & Shoes,4,20965,,
1000155,P00195642,Female,36-45,36,0,Tirunelveli,Southern,IT Sector,Electronics & Gadgets,4,9988,,
1000155,P00080342,Female,36-45,43,1,Sivagangai,Central,IT Sector,Food,2,12097,,
1000156,P00024642,Male,46-50,49,0,Madurai,Southern,Healthcare,Clothing & Apparel,4,6930,,
1000156,P00356742,Male,46-50,48,0,Sivagangai,Central,IT Sector,Electronics & Gadgets,4,5934,,
1000157,P00102042,Female,36-45,41,1,Kanchipuram,Northern,IT Sector,Auto,4,9386,,
1000157,P00237542,Female,36-45,40,1,Madurai,Southern,IT Sector,Food,1,15527,,
1000157,P00243942,Female,36-45,42,0,Trichy,Central,Aviation,Beauty,3,4540,,
1000157,P00112542,Female,36-45,38,0,Tirunelveli,Southern,Retail,Furniture,1,16435,,
1000157,P00086142,Male,36-45,37,1,Ariyalur,Central,Govt,Footwear & Shoes,4,12815,,
1000157,P00117842,Female,36-45,43,0,Kanyakumari,Southern,Automobile,Footwear & Shoes,3,20661,,
1000157,P00270942,Female,36-45,43,0,Kanyakumari,Southern,Retail,Books,3,10709,,
1000157,P00210942,Female,36-45,39,0,Sivagangai,Central,Construction,Electronics & Gadgets,2,5875,,
1000161,P00249642,Female,46-50,46,0,Tirunelveli,Southern,Aviation,Electronics & Gadgets,2,4061,,
1000161,P00111942,Female,46-50,49,1,Ariyalur,Central,Food Processing,Clothing & Apparel,2,5281,,
1000161,P00178642,Female,46-50,49,1,Kanyakumari,Southern,IT Sector,Footwear & Shoes,3,16491,,
1000161,P00106042,Female,46-50,46,0,Kanyakumari,Southern,Hospitality,Food,2,15697,,
1000161,P00086042,Female,46-50,46,1,Theni,Western,Govt,Food,4,12048,,
1000161,P00247642,Female,46-50,47,1,Tiruvallur,Northern,Construction,Electronics & Gadgets,1,8074,,
1000161,P00110942,Female,46-50,48,0,Sivagangai,Central,Hospitality,Food,1,12031,,
1000161,P00310342,Female,46-50,48,1,Sivagangai,Central,Aviation,Clothing & Apparel,2,7060,,
1000162,P00172842,Male,18-25,21,1,Salem,Western,Agriculture,Clothing & Apparel,1,6910,,
1000163,P00149542,Female,18-25,24,0,Kanchipuram,Northern,IT Sector,Electronics & Gadgets,3,9946,,
1000163,P00179442,Female,18-25,21,0,Kanchipuram,Northern,Aviation,Electronics & Gadgets,4,9705,,
1000163,P00019042,Male,18-25,25,0,Trichy,Central,Banking,Footwear & Shoes,3,8612,,
1000163,P00061142,Female,18-25,22,0,Kanyakumari,Southern,Banking,Food,2,19369,,
1000163,P00237642,Female,18-25,24,0,Theni,Western,Banking,Electronics & Gadgets,1,6189,,
1000163,P00237642,Female,18-25,24,0,Vellore,Northern,Banking,Electronics & Gadgets,2,6189,,
